1,ACT
2,BAR
3,CAN
4,ENG
5,KEN
6,NAT
7,NQ
8,NSW
9,NT
10,NZ
11,PNG
12,QLD
13,SA
14,TAS
15,VIC
16,WA
17,WI
18,ZIM
